idiom	class	section	subsection	head group>head	class>section>subsection>head group>head	#	semantic-type	definition	citation	source
Піти на поблажку	volition	intersocial	conditional intersocial volition	compromise	volition>intersocial>conditional intersocial volition>compromise	774	фраз. сполучення	поступитися	Таке самовідчуття їм дуже до вподоби, і під його впливом вони поступово розчулюються і готові піти навіть на поблажку	Григорій Тютюнник, Вир, 1964, 148
Давати (дати) поблажку	volition	intersocial	conditional intersocial volition	compromise	volition>intersocial>conditional intersocial volition>compromise	774	фраз. сполучення	потурати кому-небудь	Він поставить перед ними питання руба, по-робітничому, і поблажки ледарям не дасть	Василь Кучер, Прощай.., 1957, 315
Іти (піти) на компроміс	volition	intersocial	conditional intersocial volition	compromise	volition>intersocial>conditional intersocial volition>compromise	774	фразеологізоване словосполучення	поступатися чимось заради досягнення мети	Він не пам'ятав такого випадку, щоб коли-небудь йшов на компроміс із власною совістю	Юрій Збанацький, Переджнив'я, 1955, 24
Убити (піймати) [добру] грінку	volition	intersocial	possessive relations	property in general>acquisition	volition>intersocial>possessive relations>property in general>acquisition	775	ідіома	мати вигоду, користь, виграти що-небудь	[Марфуша:] Ну, якщо тому правда, то убила грінку	Марко Кропивницький, II, 1958, 333
Дійна корова	volition	intersocial	possessive relations	property in general>acquisition	volition>intersocial>possessive relations>property in general>acquisition	775	фраз. єдність	про того або те, що є джерелом прибутку		
Вудити рибу в каламутній воді	volition	intersocial	possessive relations	property in general>acquisition	volition>intersocial>possessive relations>property in general>acquisition	775	фраз. єдність	робити щось вигідне для себе, скориставшись сприятливими обставинами;		
Вартість додаткова	volition	intersocial	possessive relations	property in general>acquisition	volition>intersocial>possessive relations>property in general>acquisition	775	фразеологізоване словосполучення	частина вартості товарів, яка створюється працею найманих робітників у капіталістичному суспільстві і привласнюється капіталістами	Цей приріст, або надлишок над первісною вартістю, я називаю додатковою вартістю	Карл Маркс, Капітал, т. I, кн. I, 1952, 153
Здавати (здати) під розписку	volition	intersocial	possessive relations	transfer of property>giving	volition>intersocial>possessive relations>transfer of property>giving	784	фразеологізоване словосполучення	здавати щось кому-небудь, вимагаючи письмового свідчення про це		
Іти (піти) в комірники	volition	intersocial	possessive relations	transfer of property>borrowing	volition>intersocial>possessive relations>transfer of property>borrowing	788	ідіома	ставати квартирантом	Візьму та й піду в комірники	Нечуй-Левицький, II, 1956, 304
Позбавлений права громадянства	volition	intersocial	possessive relations	transfer of property>taking	volition>intersocial>possessive relations>transfer of property>taking	789	фраз. єдність	не має умов для існування, не існує	Проблема безробіття давно позбавлена права громадянства на радянській землі	Радянська Україна, 15.VI 1962, 1
Обідрати як (мов, наче) білку	volition	intersocial	possessive relations	transfer of property>taking	volition>intersocial>possessive relations>transfer of property>taking	789	фраз. сполучення	забрати у когось гроші, коштовності, обібрати, обікрасти кого-небудь		
Позабирати в свої руки	volition	intersocial	possessive relations	transfer of property>taking	volition>intersocial>possessive relations>transfer of property>taking	789	фраз. сполучення	захопити собі, привласнити все або багато чого-небудь	Як се так таки ніхто й не думає позабирати все те [ґешефти] в свої руки!	Іван Франко, III, 1950, 65
Спійматися на гарячому	volition	intersocial	possessive relations	transfer of property>stealing	volition>intersocial>possessive relations>transfer of property>stealing	791	ідіома	бути викритим під час здійснення злочину	Спіймався [Кузь] на гарячому і хоче знайти для себе якесь виправдання	Григорій Тютюнник, Вир, 1964, 32
Упійматися на гарячому	volition	intersocial	possessive relations	transfer of property>stealing	volition>intersocial>possessive relations>transfer of property>stealing	791	ідіома	бути викритим, спійманим на місці злочину		
Кишеньковий злодій	volition	intersocial	possessive relations	transfer of property>thief	volition>intersocial>possessive relations>transfer of property>thief	792	фраз. сполучення	той, хто краде з кишені	Раз за разом стражники.. підводили до нього то впійманих на гарячому кишенькових злодіїв, то всяких зальотних аферисток	Олесь Гончар, Таврія.., 1957, 56
Продаватися (продатися) з молотка	volition	intersocial	possessive relations	interchange of property>sale	volition>intersocial>possessive relations>interchange of property>sale	796	фраз. єдність	збуватися комусь прилюдним торгом, з аукціону	В умовах соціалізму діяння закону вартості не має стихійного характеру. Наші підприємства не продаються з молотка, навіть коли вони збиткові	Комуніст України, 9, 1962, 15
Довгий карбованець	volition	intersocial	possessive relations	monetary relations>money	volition>intersocial>possessive relations>monetary relations>money	800	фраз. єдність	легкий і великий заробіток	[Семен:] Тепер хай мені хтось заїкнеться, що ваша бригада за довгим карбованцем лізе	Ігор Муратов, Радісний берег, 1961, 83
Кишенькова справа	volition	intersocial	possessive relations	monetary relations>money	volition>intersocial>possessive relations>monetary relations>money	800	фраз. сполучення	справа, пов'язана з грішми	Головне ж для нього.. кишенькові гроші, які.. потрапляли до його рук від пестливої матері	Натан Рибак, Час, 1960, 638
Набитий гаманець	volition	intersocial	possessive relations	monetary relations>money	volition>intersocial>possessive relations>monetary relations>money	800	фраз. сполучення	багато грошей	Поміж людей ще водяться людці, Яких ми звем зневажливо «жуками», їх ідеал — набиті гаманці	Любомир Дмитерко. В обіймах сонця, 1958, 73
Куте срібло	volition	intersocial	possessive relations	monetary relations>money	volition>intersocial>possessive relations>monetary relations>money	800	фразеологізоване словосполучення	не лите срібло	На низьких круглих столах з бронзи і кутого срібла стояли десятки холодних і гарячих страв	Зінаїда Тулуб, Людолови, II, 1957, 244
Опливати в достатках	volition	intersocial	possessive relations	monetary relations>wealth	volition>intersocial>possessive relations>monetary relations>wealth	803	ідіома	мати всього вдосталь, жити в розкошах	За життя Аркадія, коли опливали в достатках, не чути було ніколи про злодіїв, то хто тепер мав би лакомитмсь на їх мізероту?	Ірина Вільде, Сестри.., 1958, 569
Закупатися в сріблі-золоті	volition	intersocial	possessive relations	monetary relations>wealth	volition>intersocial>possessive relations>monetary relations>wealth	803	фраз. єдність	стати дуже багатим	І підеш тоді, Милий синочку, І з панами сам Порівняєшся, В сріблі-золоті Закупаєшся	Степан Руданський, Тв., 1956, 67
Є (буде, було) за (об) що (віщо) руки зачепити	volition	intersocial	possessive relations	monetary relations>wealth	volition>intersocial>possessive relations>monetary relations>wealth	803	фраз. єдність	мати матеріальну основу, щоб почати господарювання, яку-небудь справу і т. ін	Не така, мамо, Галя. Нічого вам турбуватись.. Всьому знав лад дати. А що вона має лишне там, то то ще краще. Буде об віщо на перший раз руки зачепити	Панас Мирний, II, 1954, 245
Є (було, буде) за що (віщо) зачепитися	volition	intersocial	possessive relations	monetary relations>wealth	volition>intersocial>possessive relations>monetary relations>wealth	803	фраз. сполучення	є (була, буде) матеріальна основа, щоб почати господарювання, якусь справу і т. ін	Дівчина у мене є, наречена, побратися думали. А зачепитися не було за що	Іван Цюпа, Назустріч.., 1958, 104
Вік калатати	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	ідіома	весь вік жити в злиднях, бідувати; поневірятися	Не жалкуй тільки, дитино моя, на матір, як.. прийдеться вік калатати	Панас Мирний, II, 1954, 244
Злидні годувати	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	ідіома	жити в нужді, бідності	[Кіндрат Антонович:] Я цілий вік труждався..; увесь вік злидні годував, недоїдав, недопивав	Марко Кропивницький, II, 1958, 328
Недосипати (недосипляти, недоспати) [ночей], недоїдати (недоїсти) [шматка хліба]	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	фраз. єдність	наполегливо працюючи, відмовляти собі у всьому	[Кіндрат Антонович:] Хіба то безсовісно, що я недосипав ночей, недоїдав шматка хліба та все працював, щоб себе і сім'ю свою зарятувати від злиднів?	Марко Кропивницький, II, 1958, 282
Вошей годувати (відгодовувати)	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	фраз. єдність	перебувати в поганих побутових умовах, часто з примусу (у в'язниці, в окопах і т. ін.)	Гречку возив на тік, та й напоумило мене курям кілька снопиків прихопити. Ну, от і прихопив — уже три неділі вошей тут [у в'язниці] відгодовую	Юрій Збанацький, Єдина, 1959, 58
Загрузати (загрузнути, загрузти) в злиднях	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	фраз. сполучення	надовго потрапляти в скрутне матеріальне становище, не маючи змоги вийти з нього	[Фортунат:] Мене ж тоді не приймуть до громади, я втрачу поміч і загрузну в злиднях	Леся Українка, II, 1951, 483
[Голий], босий і простоволосий	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	фраз. сполучення	який нічого не має	Подумала Пріська, погадала: за нею її сирітська доля, — гола, боса й простоволоса, а попереду... нужда та недостачі	Панас Мирний, III, 1954, 21
Пустий гаманець	volition	intersocial	possessive relations	monetary relations>poverty	volition>intersocial>possessive relations>monetary relations>poverty	804	фразеологізоване словосполучення	немає грошей		
Злісний банкрут (банкрот)	volition	intersocial	possessive relations	monetary relations>nonpayment	volition>intersocial>possessive relations>monetary relations>nonpayment	808	фраз. сполучення	особа, що, при наявності коштів, видає себе за неспроможного боржника	Я не банкрот, принаймні не злісний	Леся Українка, III, 1952, 678
Точиться, як через (крізь) решето	volition	intersocial	possessive relations	monetary relations>expenditure	volition>intersocial>possessive relations>monetary relations>expenditure	809	ідіома	поступово зникає (про майно, багатство і т. ін.)	Посесорове добро точилось, як через решето	Нечуй-Левицький, II, 1956, 58
Кишенькові гроші	volition	intersocial	possessive relations	monetary relations>expenditure	volition>intersocial>possessive relations>monetary relations>expenditure	809	фразеологізоване словосполучення	гроші на дрібні витрати	Головне ж для нього.. кишенькові гроші, які.. потрапляли до його рук від пестливої матері	Натан Рибак, Час, 1960, 638
Кишенькові витрати	volition	intersocial	possessive relations	monetary relations>expenditure	volition>intersocial>possessive relations>monetary relations>expenditure	809	фразеологізоване словосполучення	дрібні витрати;		
Споживна вартість	volition	intersocial	possessive relations	monetary relations>price	volition>intersocial>possessive relations>monetary relations>price	812	фразеологізоване словосполучення	властивість товару, речі задовольнити якусь потребу покупця	Корисність речі робить її споживною вартістю	Карл Маркс, Капітал, т. I, кн. I, 1952, 42
Вартість мінова	volition	intersocial	possessive relations	monetary relations>price	volition>intersocial>possessive relations>monetary relations>price	812	фразеологізоване словосполучення	форма виявлення вартості через прирівнювання одного товару до іншого в процесі обміну	Мінова вартість має насамперед вигляд кількісного співвідношення, вигляд пропорції, в якій споживні вартості одного роду обмінюються на споживні вартості іншого роду, — співвідношення, яке завжди змінюється залежно від часу і місця	Карл Маркс, Капітал, т. I, кн. I, 1952, 42
Закон вартості	volition	intersocial	possessive relations	monetary relations>value	volition>intersocial>possessive relations>monetary relations>value	812a	фразеологізоване словосполучення	об'єктивний економічний закон товарного виробництва, за яким вартість товару визначається суспільно необхідною кількістю абстрактної праці, затраченої на виробництво цього товару	Облік праці при соціалізмі можливий тільки в грошовій формі, на основі закону вартості	Радянська Україна, 13.IX 1946, 2
Здирати (здерти, зідрати) півшкури	volition	intersocial	possessive relations	monetary relations>dearness	volition>intersocial>possessive relations>monetary relations>dearness	814	фраз. єдність	брати за що-небудь  дуже дорого	Не спалось йому: в очах усе стояла худоба, за яку тепер в економії півшкури здеруть. Воли, може, на сороківець зробили шкоди, а з чоловіка витягнуть карбованців з п'ять	Михайло Стельмах, I, 1962, 568
Продатися за миску сочевиці	volition	intersocial	possessive relations	monetary relations>cheapness	volition>intersocial>possessive relations>monetary relations>cheapness	815	фраз. сполучення	погодитися робити що-небудь за дрібну вигоду, користь	Він бачить перед собою інші, вищі цілі життя.. Він не продасться в неволю за миску сочевиці!	Іван Франко, III, 1950, 455
За простибі (простибіг)	volition	intersocial	possessive relations	monetary relations>cheapness	volition>intersocial>possessive relations>monetary relations>cheapness	815	фразеологізоване словосполучення	даром		
Хапкий на руку	affections	affections in general		affections	affections>affections in general>affections	820	фраз. сполучення	схильний до крадіжок, хабарництва	[Олімпіада:] Наглядай за нею, щоб часом чого не вкрала з комори.. Щось вона мені здається хапкою на руку	Марко Кропивницький, III, 1959, 297
Дивом здивуватися	affections	affections in general		feeling	affections>affections in general>feeling	821	фраз. єдність	бути дуже враженим чим-небудь	Старий Федір дивом здивувався, а Марина від дива й не здише!	Панас Мирний, IV, 1955, 225
Розводити (розвести) сентименти	affections	affections in general		sensibility	affections>affections in general>sensibility	822	фраз. сполучення	виявляти надмірну чутливість	Ось вона сидить тут і думає про нас. Не розводьте драм і сентиментів	Юрій Яновський, II, 1958, 162
Телячі ніжності	affections	affections in general		sensibility	affections>affections in general>sensibility	822	фраз. сполучення	надмірна або недоречна сентиментальність у вираженні своїх почуттів	Олено, зрозумій: я не можу. Коли усе тут нагадує мені про нього? Куди не піду, на що не погляну... — Ніжності телячі! Так, наче я не любила ніколи	Андрій Головко, I, 1957, 480
Підливати (підлити) масла у вогонь (в огонь)	affections	affections in general		excitation	affections>affections in general>excitation	824	фраз. єдність	підсилювати, розпалювати які-небудь почуття, переживання і т. ін., збуджувати чимось	А тут ще й Заруба підливає масла в огонь, гукає до Яринки: «Правильно! На одній землі не може бути двох хазяїв!..»	Василь Кучер, Трудна любов, 1960, 55
Ноги аж Затрусилися (затрусяться) до танцю	affections	affections in general		excitation	affections>affections in general>excitation	824	фраз. сполучення	з'явилося (з'явиться) велике бажання затанцювати	Марко.. так розвеселився, що ноги аж затрусилися до танцю	Григорій Тютюнник, Вир, 1964, 11
В глибині душі (серця)	affections	affections in general		excitation	affections>affections in general>excitation	824	фраз. сполучення	про внутрішні переживання людини	В глибині душі він чув, що жінка зробила добре	Михайло Коцюбинський, II, 1955, 165
Входити (ввіходити, ввійти) в раж	affections	affections in general		excitation	affections>affections in general>excitation	824	фраз. сполучення	ставати збудженим, несамовитим; шаленіти	Навіщо так ввіходить в раж. Поглянь ти [агресоре] в іншу призму, — Двадцятий вік не ваш, А наш, Вік щастя, комунізму!	Сергій Воскрекасенко, І всерйоз.., 1960, 39
Повиступали (повиступають) сироти [на тілі (шкірі)]	affections	affections in general		excitation	affections>affections in general>excitation	824	фразеологізоване словосполучення	тіло, шкіра від холоду або нервового збудження вкрилися (вкриються) в багатьох місцях пухирцями	Напівголий, .. він уже починав дрижати від холоду, на тілі повиступали сироти	Олесь Гончар, III, 1959, 166
Говорити (заговорити, балакати, забалакати) з оприском	affections	affections in general		excitability	affections>affections in general>excitability	825	фраз. єдність	говорити запально, із завзяттям, злістю	З оприском, шпарко забалакав	Номис, 1864, № 12893
З грошика та з кошика тягтися (тягнутися)	affections	affections in general		inexcitability	affections>affections in general>inexcitability	826	ідіома	терпіти матеріальні нестатки, добиваючись чого-небудь	Хіба не ми з Олександром з останнього грошика та з кошика тягнулись, щоб ти учителем став..?	Михайло Стельмах, Кров людська.., I, 1957, 75
Бути владним над собою	affections	affections in general		inexcitability	affections>affections in general>inexcitability	826	фразеологізоване словосполучення	зберігати самовладання, стримувати свої почуття	Вона все ще не владна над собою. Вона зараз візьме свій чемодан і вийде на перон, бо відмовитись від мрії неможливо	Вадим Собко, Срібний корабель, 1961, 155
З вибриком	affections	personal	passive affections	pleasure	affections>personal>passive affections>pleasure	827	фраз. єдність	із задоволенням, з радістю	Клим чоловік неабиякий. За його кожна дівка піде з вибриком	Нечуй-Левицький, III, 1956, 324
Не жилець [на цьому світі]	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. єдність	хто-небудь має поганий вигляд, поганий фізичний стан і може швидко померти	Не жилець він, ні, не жилець! — промовив, махнувши рукою, Грицько. — Таким кашлем.. старий печінки всі порве	Панас Мирний, I, 1954, 304
Ужалити в [саме] серце	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. єдність	боляче вразити; спричинити душевний біль	Ти згадай, серце, які Дубці дохідні! Молодий аж іздригнувся і дивиться на неї, — ніби його щось.. у серце вжалило	Марко Вовчок, I, 1955, 117
Серце розпукає	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. єдність	з'являється великий душевний біль, гнітить страждання	Хто ж за мене спогадає? Як подумаю за сеє, З жалю серце розпукає	Степан Руданський, Тв., 1956, 35
Надривати (надірвати) душу (серце)	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. сполучення	викликати душевні страждання, муки	Туга і горе Глібовому синові серце надриває	Панас Мирний, V, 1955, 271
Спопелілий серцем	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. сполучення	душевно спустошений, байдужий  до всього через великі страждання, тяжкі умови життя	Жила [Лукина] невесело і незатишно, доживала віку. Байдужа до всього на світі, спопеліла серцем	Іван І. Волошин, Місячне срібло, 1961, 327
Серце (душа) надривається	affections	personal	passive affections	pain	affections>personal>passive affections>pain	828	фраз. сполучення	хто-небудь тяжко мучиться, страждає	Все я бачив; од усього Серце надривалось, — І тоді журливе слово На папір прохалось	Яків Щоголів, Поезії, 1958, 56
Аж не зглянути	affections	personal	passive affections	pleasurableness	affections>personal>passive affections>pleasurableness	829	ідіома	аж очам боляче	Ой, червона ж яка [хустка]! Аж не зглянути	Андрій Головко, I, 1957, 106
По нутру	affections	personal	passive affections	pleasurableness	affections>personal>passive affections>pleasurableness	829	фраз. єдність	подобається, до вподоби	Ми між людьми будемо жити по-людськи, а кому в нас не по нутру, той нехай іде на Січ	Пантелеймон Куліш, Вибр., 1969, 181
Бодай (щоб) він (ти, вона, воно, вони) спух (спухла, спухло, спухли)	affections	personal	passive affections	painfulness	affections>personal>passive affections>painfulness	830	фраз. вираз	Нехай він (ти, вона, воно, вони) спухне (спухнеш, спухнуть)		
Пасокою умитися	affections	personal	passive affections	painfulness	affections>personal>passive affections>painfulness	830	фраз. єдність	залитися кров'ю	Як мазну по морді, то й пасокою умиєся [умиєшся]	Номис, 1864, № 3637
Мов на грані	affections	personal	passive affections	painfulness	affections>personal>passive affections>painfulness	830	фраз. єдність	неспокійно, тривожно	Максим стояв при тих словах мов на грані	Іван Франко, VI, 1951, 21
Жаліти на себе	affections	personal	passive affections	discontent	affections>personal>passive affections>discontent	832	ідіома	бути незадоволеним собою, нарікати на себе	Я сама себе винувачу, сама на себе жалію і нічого не враю з собою!	Панас Мирний, III, 1954, 175
Виточити сльози (з очей)	affections	personal	passive affections	discontent	affections>personal>passive affections>discontent	832	фраз. сполучення	своїми вчинками, діями примушувати когось плакати	А як пішов мені шостий рік, то багацько сліз виточив я з очей бідної моєї неньки	Олекса Стороженко, I, 1957, 348
Спопеляється (спопеляться) серце	affections	personal	passive affections	discontent	affections>personal>passive affections>discontent	832	фраз. сполучення	хто-небудь зазнає великих душевних страждань	Сліз нема, тому що коли спопелиться все серце від муки — висихають і сльози у тому вогні	Зінаїда Тулуб, Людолови, II, 1957, 152
Серце (душа) помліває	affections	personal	passive affections	discontent	affections>personal>passive affections>discontent	832	фраз. сполучення	хтось зазнав душевного болю, глибоко переживає	Моє серденько мліє. Мліє, помліває	Павло Чубинський, V, 1874, 403
Кусати [собі] лікті	affections	personal	passive affections	regret	affections>personal>passive affections>regret	833	фраз. єдність	виявляти велику досаду з приводу втрати чогось; жалкувати	Ех, Зіньку, Зіньку, — зітхнув сторож. — Допарубкуєтесь ви, що проґавите Тетяну. Будете кусати лікті	Спиридон Добровольський, Тече річка.., 1961, 222
Золотити (позолотити) пілюлю	affections	personal	passive affections	relief	affections>personal>passive affections>relief	834	фраз. єдність	скрашувати, зм'якшувати чим-небудь заподіяну прикрість, неприємність, образу і т. ін	Гетьман хитро позолотив пілюлю і, нібито вгадуючи архімандритові заперечення, додав: — Та й братство в нас буде трохи відмінне від Львівського	Зінаїда Тулуб, Людолови, I, 1957, 133
Висушувати (висушити) сльози (сльозу)	affections	personal	passive affections	relief	affections>personal>passive affections>relief	834	фраз. єдність	втішати, заспокоювати того, хто плаче	Рідна пісня заплете розмову, у стареньких висушить сльозу	Андрій Малишко, Серце.., 1959, 116
[Держати] хвіст (хвоста) бубликом	affections	personal	passive affections	cheerfulness	affections>personal>passive affections>cheerfulness	836	ідіома	бути бадьорим, життєрадісним	Головне, Романе, держи хвоста бубликом!	Михайло Стельмах, Хліб.., 1959, 124
Ніс на квінту повісити	affections	personal	passive affections	dejection	affections>personal>passive affections>dejection	837	фраз. єдність	зажуритися	Американські реакціонери повісили ніс на квінту	Юрій Смолич, VI, 1959, 392
Мов (як) у воду (у воді) намочений	affections	personal	passive affections	dejection	affections>personal>passive affections>dejection	837	фраз. єдність	засмучений, зажурений	Мирон був сердитий сам на себе: цілий тиждень ходив, як у воді намочений	Грицько Григоренко, Вибр., 1959, 250
З нелегким серцем	affections	personal	passive affections	dejection	affections>personal>passive affections>dejection	837	фраз. сполучення	з тривогою, у поганому, пригніченому настрої	Він махнув їй рукою і в нелегким, стривоженим серцем попрямував до села	Михайло Стельмах, I, 1962, 130
Давати (дати) лиха закаблукам [і передам]	affections	personal	passive affections	rejoicing	affections>personal>passive affections>rejoicing	838	фраз. єдність	танцювати з запалом	По неділях збиралася.. молодь і під троїсті музики давала лиха закаблукам і передам	Спиридон Добровольський, Тече річка.., 1961, 229
Полупити зуби	affections	personal	passive affections	rejoicing	affections>personal>passive affections>rejoicing	838	фраз. єдність	посміятися якийсь час	Найважливішим для них було показати себе та й людей побачити. А для цього не обов'язково заходити до школи, можна й біля гаїску зуби полупити	Юрій Збанацький, Сеспель, 1961, 373
Лускати зі (зо) сміху	affections	personal	passive affections	rejoicing	affections>personal>passive affections>rejoicing	838	фраз. сполучення	дуже весело, голосно сміятися	Дівчата лускали зо сміху, штовхаючи одна одну ліктем	Ольга Кобилянська, II, 1956, 54
Пукати від сміху	affections	personal	passive affections	rejoicing	affections>personal>passive affections>rejoicing	838	фраз. сполучення	дуже сміятися	Співаночок таких вимудрує [Яків], що пукати від сміху	Гнат Хоткевич, Довбуш, 1965, 114
Розсипати (розсипати) сміх (усмішки, смішок)	affections	personal	passive affections	rejoicing	affections>personal>passive affections>rejoicing	838	фраз. сполучення	сміятися, усміхатися	Стрункі дівчата в одягах легких Перлово-ніжний розсипають сміх	Максим Рильський, III, 1961, 57
Кривавицею ридати	affections	personal	passive affections	lamentation	affections>personal>passive affections>lamentation	839	фраз. єдність	дуже сильно, невтішно плакати	Як його я вже, мороку, Не молила, не прохала, Кривавицею ридала, .. так ні	Іван Манжура, Тв., 1955, 178
Кислиці розводити	affections	personal	passive affections	lamentation	affections>personal>passive affections>lamentation	839	фраз. єдність	плакати жаліючись; скиглити, хникати	У твої роки я на заводі працював по десять годин. А ти? Не розводь кислиці! — Віктор тер очі, схлипував	Павло Автомонов, Коли розлучаються двоє, 1959, 28
Попустити (розпустити) патьоки	affections	personal	passive affections	lamentation	affections>personal>passive affections>lamentation	839	фраз. єдність	розплакатися, розревтися	За що знущаєтесь ви надо мною так? За що?.. За що?.. — сказав [неборак] та й попустив патьоки... Патьоки гірких сліз	Гулак-Артемовський, Байки.., 1958, 51
Наковтатися сліз	affections	personal	passive affections	lamentation	affections>personal>passive affections>lamentation	839	фраз. сполучення	багато поплакати	Сама Яресьчиха сліз наковталася вволю на доччиному весіллі — пекуче воно було: замість справжнього батька порядкував за столом одноденний «батько», званий, весільний	Олесь Гончар, I, 1959, 9
Проронити сльозу	affections	personal	passive affections	lamentation	affections>personal>passive affections>lamentation	839	фраз. сполучення	заплакати	Майже весь день Соломія просиділа біля тіла свого чоловіка. Вона не проронила жодної сльози, і лише очі її застигли в німому та безвихідному смутку	Сава Голованівський, Тополя.., 1965, 206
Забивати козла	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фраз. єдність	грати в доміно	Збирались товариші. Грали в карти або забивали козла	Панас Кочура, Родина.., 1962, 72
Ударити в закаблуки	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фраз. єдність	пуститися в танець; затанцювати	Як сонні, ходять, сплівши руки, а тут би — вихором пройтись, ударить шквально в закаблуки	Іван Гончаренко, Вибр., 1959, 361
Розмочувати (розмочити) рахунок	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фраз. сполучення	програючи, відкривати рахунок під час спортивних змагань	Друга половина гри ще не скінчилася, а берлінці сохли на шести — нуль і ніяк не могли розмочити рахунок	Юрій Яновський, II, 1954, 27
Довга лоза	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фразеологізоване словосполучення	гра, яка полягає в тому, що один з її учасників повинен перестрибнути через інших, що розмістились один за одним зігнувшись	[Мотря:] Парубки гратимуть у довгої лози, у тарана; дівчата — у ворона, у гусей!	Марко Кропивницький, II, 1958, 25
Русалчин великдень	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фразеологізоване словосполучення	за народними повір'ями — свято русалок	Я страх боюсь, що мене русалки залоскочуть, — Дак то ж на русалчин великдень	Борис Грінченко, II, 1963, 333
Підкидний дурень	affections	personal	passive affections	amusement	affections>personal>passive affections>amusement	840	фразеологізоване словосполучення	різновид гри у карти; дурень (у 2 знач.)	Він навчився неперевершено грати у підкидного дурня	Іван І. Волошин, Місячне срібло, 1961, 18
В'їстися (уїстися) в печінки	affections	personal	passive affections	dullness	affections>personal>passive affections>dullness	843	ідіома	дуже набриднути	[Перший голос:] Вже те її пророкування уїлось нам в печінки	Леся Українка, II, 1951, 303
Лобом неширокий	affections	personal	passive affections	dullness	affections>personal>passive affections>dullness	843	фраз. єдність	нерозумний	В багряниці довгополій Ходив по храмині, ходив, Аж поки, лобом неширокий, В своїм гаремі одинокий, Саул сердега одурів	Тарас Шевченко, II, 1963, 405
Ні складу, ні ладу, ні спереду, ні ззаду	affections	personal	discriminative affections	ugliness	affections>personal>discriminative affections>ugliness	846	фраз. вираз	дуже непоказний, непривабливий	Вона й зроду така. Як то кажуть: ні складу, ні ладу, ні спереду, ні ззаду…	Іван Рябокляч, Жайворонки, 1957, 40
Як води напитись	affections	personal	discriminative affections	simplicity	affections>personal>discriminative affections>simplicity	849	фраз. єдність	дуже швидко, дуже просто	Позбувся Микита, як води напитись, батьківщини та й не знав довго про свою пригоду	Любов Яновська, I, 1959, 303
Силач [який] знайшовся	affections	personal	discriminative affections	ridicule	affections>personal>discriminative affections>ridicule	856	фраз. вираз	уживається, щоб показати  іронічне або зневажливе ставлення до того, хто хвастає своєю силою	Я його [бугая].. удержу. — Штани свої краще держи! Силач який знайшовся	Григорій Тютюнник, Вир, 1964, 114
